Year,Sex,Age Group,Race or Ethnicity,Selected Cause of Death,Deaths
2007,M,35-44,Hispanic,Cerebrovascular Disease,51
2007,M,35-44,Hispanic,AIDS,171
2007,M,35-44,Hispanic,Malignant Neoplasms,346
2007,M,35-44,Hispanic,Accidents,464
2007,M,35-44,Hispanic,Diseases of the Heart,498
2007,M,35-44,Hispanic,All Other Causes,"1,064"
2007,M,35-44,Hispanic,Total,"2,664"
2007,M,45-54,Black Non Hispanic,All Other Causes,1
2007,M,45-54,Black Non Hispanic,Total,1
2007,M,45-54,Hispanic,Diabetes Mellitus,29
2007,M,45-54,Hispanic,CLRD,99
2007,M,45-54,Hispanic,Pneumonia,115
2007,M,45-54,Hispanic,Cerebrovascular Disease,141
2007,M,45-54,Hispanic,AIDS,258
2007,M,45-54,Hispanic,Accidents,582
2007,M,45-54,Hispanic,Malignant Neoplasms,"1,467"
2007,M,45-54,Hispanic,Diseases of the Heart,"1,517"
2007,M,45-54,Hispanic,All Other Causes,"1,968"
2007,M,45-54,Hispanic,Total,"6,176"
2007,M,45-54,White Non Hispanic,CLRD,1
2007,M,45-54,White Non Hispanic,Malignant Neoplasms,1
2007,M,45-54,White Non Hispanic,Total,2
2007,M,55-64,Black Non Hispanic,All Other Causes,2
2007,M,55-64,Black Non Hispanic,Total,2
2007,M,55-64,Hispanic,Diabetes Mellitus,78
2007,M,55-64,Hispanic,AIDS,135
2007,M,55-64,Hispanic,Pneumonia,160
2007,M,55-64,Hispanic,Cerebrovascular Disease,253
2007,M,55-64,Hispanic,CLRD,295
2007,M,55-64,Hispanic,Accidents,361
2007,M,55-64,Hispanic,All Other Causes,"2,330"
2007,M,55-64,Hispanic,Diseases of the Heart,"2,783"
2007,M,55-64,Hispanic,Malignant Neoplasms,"3,362"
2007,M,55-64,Hispanic,Total,"9,757"
2007,M,55-64,Not Stated,All Other Causes,2
2007,M,55-64,Not Stated,Total,2
2007,M,55-64,Other Non Hispanic,Malignant Neoplasms,1
2007,M,55-64,Other Non Hispanic,Total,1
2007,M,55-64,White Non Hispanic,Accidents,1
2007,M,55-64,White Non Hispanic,All Other Causes,1
2007,M,55-64,White Non Hispanic,Diseases of the Heart,1
2007,M,55-64,White Non Hispanic,Malignant Neoplasms,2
2007,M,55-64,White Non Hispanic,Total,5
2007,M,65-74,Black Non Hispanic,Diseases of the Heart,1
2007,M,65-74,Black Non Hispanic,Pneumonia,1
2007,M,65-74,Black Non Hispanic,Malignant Neoplasms,2
2007,M,65-74,Black Non Hispanic,Total,4
2007,M,65-74,Hispanic,AIDS,43
2007,F,55-64,Hispanic,All Other Causes,"1,548"
2007,M,65-74,Hispanic,Accidents,257
2007,M,65-74,Hispanic,Pneumonia,263
2007,M,65-74,Hispanic,Cerebrovascular Disease,391
2007,M,65-74,Hispanic,CLRD,581
2007,M,65-74,Hispanic,All Other Causes,"2,582"
2007,M,65-74,Hispanic,Diseases of the Heart,"3,810"
2007,M,65-74,Hispanic,Malignant Neoplasms,"4,357"
2007,M,65-74,Hispanic,Total,"12,371"
2007,M,65-74,Not Stated,Malignant Neoplasms,1
2007,M,65-74,Not Stated,Total,1
2007,M,65-74,White Non Hispanic,All Other Causes,1
2007,M,65-74,White Non Hispanic,Cerebrovascular Disease,1
2007,M,65-74,White Non Hispanic,Diseases of the Heart,3
2007,M,65-74,White Non Hispanic,Malignant Neoplasms,5
2007,M,65-74,White Non Hispanic,Total,10
2007,M,75-84,Black Non Hispanic,Cerebrovascular Disease,1
2007,M,75-84,Black Non Hispanic,Total,1
2007,M,75-84,Hispanic,AIDS,5
2007,M,75-84,Hispanic,Diabetes Mellitus,109
2007,M,75-84,Hispanic,Accidents,383
2007,M,75-84,Hispanic,Pneumonia,621
2007,M,75-84,Hispanic,Cerebrovascular Disease,742
2007,M,75-84,Hispanic,CLRD,"1,128"
2007,M,75-84,Hispanic,All Other Causes,"4,328"
2007,M,75-84,Hispanic,Malignant Neoplasms,"5,186"
2007,M,75-84,Hispanic,Diseases of the Heart,"7,043"
2007,M,75-84,Hispanic,Total,"19,545"
2007,M,75-84,Not Stated,Diseases of the Heart,1
2007,M,75-84,Not Stated,Malignant Neoplasms,2
2007,M,75-84,Not Stated,Total,3
2007,M,75-84,White Non Hispanic,Accidents,1
2007,M,75-84,White Non Hispanic,CLRD,1
2007,M,75-84,White Non Hispanic,Diseases of the Heart,1
2007,M,75-84,White Non Hispanic,Malignant Neoplasms,2
2007,M,75-84,White Non Hispanic,All Other Causes,3
2007,M,75-84,White Non Hispanic,Total,8
2007,M,85+,Hispanic,AIDS,4
2007,M,85+,Hispanic,Diabetes Mellitus,65
2007,M,85+,Hispanic,Accidents,289
2007,M,85+,Hispanic,Cerebrovascular Disease,708
2007,M,85+,Hispanic,CLRD,724
2007,M,85+,Hispanic,Pneumonia,835
2007,M,85+,Hispanic,Malignant Neoplasms,"2,507"
2007,M,85+,Hispanic,All Other Causes,"3,856"
2007,M,85+,Hispanic,Diseases of the Heart,"7,055"
2007,M,85+,Hispanic,Total,"16,043"
2007,M,85+,Not Stated,Diseases of the Heart,1
2007,M,85+,Not Stated,Malignant Neoplasms,1
2007,M,85+,Not Stated,All Other Causes,2
2007,M,85+,Not Stated,Total,4
2007,M,85+,Other Non Hispanic,Diseases of the Heart,1
2007,M,85+,Other Non Hispanic,Total,1
2007,M,85+,White Non Hispanic,CLRD,1
2007,M,85+,White Non Hispanic,Cerebrovascular Disease,1
2007,M,85+,White Non Hispanic,Malignant Neoplasms,1
2007,M,85+,White Non Hispanic,Pneumonia,1
2007,M,85+,White Non Hispanic,All Other Causes,2
2007,M,85+,White Non Hispanic,Diseases of the Heart,9
2007,M,85+,White Non Hispanic,Total,15
2007,M,<1,Black Non Hispanic,All Other Causes,1
2007,M,<1,Black Non Hispanic,Total,1
2007,M,<1,Hispanic,Cerebrovascular Disease,2
2007,M,<1,Hispanic,Pneumonia,5
2007,M,<1,Hispanic,Malignant Neoplasms,6
2007,M,<1,Hispanic,Diseases of the Heart,14
2007,M,<1,Hispanic,Accidents,20
2007,M,<1,Hispanic,All Other Causes,721
2007,M,<1,Hispanic,Total,768
2007,M,<1,Not Stated,All Other Causes,1
2007,M,<1,Not Stated,Total,1
2006,M,65-74,Hispanic,Malignant Neoplasms,"4,341"
2006,F,9-Jan,Hispanic,Cerebrovascular Disease,1
2006,F,9-Jan,Hispanic,Diabetes Mellitus,1
2006,F,9-Jan,Hispanic,CLRD,2
2006,F,9-Jan,Hispanic,Pneumonia,5
2006,F,9-Jan,Hispanic,Diseases of the Heart,7
2006,F,9-Jan,Hispanic,Malignant Neoplasms,18
2006,F,9-Jan,Hispanic,Accidents,35
2006,F,9-Jan,Hispanic,All Other Causes,74
2006,F,9-Jan,Hispanic,Total,143
2006,F,9-Jan,Other Non Hispanic,Accidents,1
2006,F,9-Jan,Other Non Hispanic,Total,1
2006,F,19-Oct,Hispanic,AIDS,1
2006,F,19-Oct,Hispanic,CLRD,2
2006,F,19-Oct,Hispanic,Cerebrovascular Disease,2
2006,F,19-Oct,Hispanic,Pneumonia,2
2006,F,19-Oct,Hispanic,Diseases of the Heart,12
2006,F,19-Oct,Hispanic,Malignant Neoplasms,26
2006,F,19-Oct,Hispanic,Accidents,74
2006,F,19-Oct,Hispanic,All Other Causes,99
2006,F,19-Oct,Hispanic,Total,218
2006,F,20-24,Hispanic,Cerebrovascular Disease,1
2006,F,20-24,Hispanic,Diabetes Mellitus,2
2006,F,20-24,Hispanic,Pneumonia,3
2006,F,20-24,Hispanic,CLRD,4
2006,F,20-24,Hispanic,Diseases of the Heart,5
2006,F,20-24,Hispanic,AIDS,6
2006,F,20-24,Hispanic,Malignant Neoplasms,22
2006,F,20-24,Hispanic,Accidents,58
2006,F,20-24,Hispanic,All Other Causes,105
2006,F,20-24,Hispanic,Total,206
2006,F,20-24,Not Stated,All Other Causes,1
2006,F,20-24,Not Stated,Total,1
2006,F,25-34,Black Non Hispanic,CLRD,1
2006,F,25-34,Black Non Hispanic,Malignant Neoplasms,1
2006,F,25-34,Black Non Hispanic,Total,2
2006,F,25-34,Hispanic,Diabetes Mellitus,2
2006,F,25-34,Hispanic,Pneumonia,8
2006,F,25-34,Hispanic,CLRD,14
2006,F,25-34,Hispanic,Cerebrovascular Disease,16
2006,F,25-34,Hispanic,AIDS,21
2006,F,25-34,Hispanic,Diseases of the Heart,60
2006,F,25-34,Hispanic,Accidents,83
2006,F,25-34,Hispanic,Malignant Neoplasms,100
2006,F,25-34,Hispanic,All Other Causes,273
2006,F,25-34,Hispanic,Total,577
2006,F,35-44,Black Non Hispanic,All Other Causes,1
2006,F,35-44,Black Non Hispanic,Total,1
2006,F,35-44,Hispanic,Diabetes Mellitus,8
2006,F,35-44,Hispanic,CLRD,19
2006,F,35-44,Hispanic,Pneumonia,25
2006,F,35-44,Hispanic,Cerebrovascular Disease,47
2006,F,35-44,Hispanic,AIDS,132
2006,F,35-44,Hispanic,Accidents,132
2006,F,35-44,Hispanic,Diseases of the Heart,211
2006,F,35-44,Hispanic,Malignant Neoplasms,515
2006,F,35-44,Hispanic,All Other Causes,609
2006,F,35-44,Hispanic,Total,"1,698"
2006,F,35-44,White Non Hispanic,All Other Causes,2
2006,F,35-44,White Non Hispanic,Total,2
2006,F,45-54,Black Non Hispanic,Malignant Neoplasms,1
2006,F,45-54,Black Non Hispanic,Total,1
2006,F,45-54,Hispanic,Diabetes Mellitus,21
2006,F,45-54,Hispanic,Pneumonia,70
2006,F,45-54,Hispanic,CLRD,85
2006,F,45-54,Hispanic,Cerebrovascular Disease,130
2006,F,45-54,Hispanic,AIDS,141
2006,F,45-54,Hispanic,Accidents,168
2006,F,45-54,Hispanic,Diseases of the Heart,596
2006,F,45-54,Hispanic,All Other Causes,"1,100"
2006,F,45-54,Hispanic,Malignant Neoplasms,"1,620"
2006,F,45-54,Hispanic,Total,"3,931"
2006,F,45-54,White Non Hispanic,All Other Causes,1
2006,F,45-54,White Non Hispanic,Total,1
2006,F,55-64,Black Non Hispanic,All Other Causes,1
2006,F,55-64,Black Non Hispanic,Diseases of the Heart,1
2006,F,55-64,Black Non Hispanic,Total,2
2006,F,55-64,Hispanic,Diabetes Mellitus,43
2006,F,55-64,Hispanic,AIDS,46
2006,F,55-64,Hispanic,Pneumonia,113
2006,F,55-64,Hispanic,Accidents,151
2006,F,55-64,Hispanic,Cerebrovascular Disease,223
2006,F,55-64,Hispanic,CLRD,255
2006,F,55-64,Hispanic,Diseases of the Heart,"1,338"
2006,F,55-64,Hispanic,All Other Causes,"1,486"
2006,F,55-64,Hispanic,Malignant Neoplasms,"2,978"
2006,F,55-64,Hispanic,Total,"6,633"
2006,F,55-64,White Non Hispanic,CLRD,1
2006,F,55-64,White Non Hispanic,Diseases of the Heart,3
2006,F,55-64,White Non Hispanic,Total,4
2006,F,65-74,Black Non Hispanic,Cerebrovascular Disease,1
2006,F,65-74,Black Non Hispanic,Malignant Neoplasms,1
2006,F,65-74,Black Non Hispanic,Total,2
2006,F,65-74,Hispanic,AIDS,11
2006,F,65-74,Hispanic,Diabetes Mellitus,92
2006,F,65-74,Hispanic,Accidents,149
2006,F,65-74,Hispanic,Pneumonia,235
2006,F,65-74,Hispanic,Cerebrovascular Disease,423
2006,F,65-74,Hispanic,CLRD,649
2006,F,65-74,Hispanic,All Other Causes,"2,191"
2006,F,65-74,Hispanic,Diseases of the Heart,"2,682"
2006,F,65-74,Hispanic,Malignant Neoplasms,"3,940"
2006,F,65-74,Hispanic,Total,"10,372"
2006,F,65-74,Not Stated,Diseases of the Heart,1
2006,F,65-74,Not Stated,Total,1
2006,F,65-74,White Non Hispanic,CLRD,1
2006,F,65-74,White Non Hispanic,Malignant Neoplasms,1
2006,F,65-74,White Non Hispanic,Diseases of the Heart,2
2006,F,65-74,White Non Hispanic,Total,4
2006,F,75-84,Black Non Hispanic,Cerebrovascular Disease,1
2006,F,75-84,Black Non Hispanic,Malignant Neoplasms,1
2006,F,75-84,Black Non Hispanic,All Other Causes,2
2006,F,75-84,Black Non Hispanic,Total,4
2006,F,75-84,Hispanic,AIDS,1
2006,F,75-84,Hispanic,Diabetes Mellitus,138
2006,F,75-84,Hispanic,Accidents,291
2006,F,75-84,Hispanic,Pneumonia,720
2006,F,75-84,Hispanic,Cerebrovascular Disease,"1,174"
2006,F,75-84,Hispanic,CLRD,"1,227"
2006,F,75-84,Hispanic,All Other Causes,"5,038"
2006,F,75-84,Hispanic,Malignant Neoplasms,"5,256"
2006,F,75-84,Hispanic,Diseases of the Heart,"7,390"
2006,F,75-84,Hispanic,Total,"21,235"
2006,F,75-84,Not Stated,All Other Causes,1
2006,F,75-84,Not Stated,Diseases of the Heart,1
2006,F,75-84,Not Stated,Malignant Neoplasms,1
2006,F,75-84,Not Stated,Total,3
2006,F,75-84,White Non Hispanic,CLRD,1
2006,F,75-84,White Non Hispanic,Cerebrovascular Disease,1
2006,F,75-84,White Non Hispanic,Pneumonia,1
2006,F,75-84,White Non Hispanic,All Other Causes,2
2006,F,75-84,White Non Hispanic,Malignant Neoplasms,2
2006,F,75-84,White Non Hispanic,Diseases of the Heart,6
2006,F,75-84,White Non Hispanic,Total,13
2006,F,85+,Black Non Hispanic,All Other Causes,3
2006,F,85+,Black Non Hispanic,Total,3
2006,F,85+,Hispanic,Diabetes Mellitus,129
2006,F,85+,Hispanic,Accidents,421
2006,F,85+,Hispanic,CLRD,"1,152"
2006,F,85+,Hispanic,Pneumonia,"1,528"
2006,F,85+,Hispanic,Cerebrovascular Disease,"1,788"
2006,F,85+,Hispanic,Malignant Neoplasms,"3,365"
2006,F,85+,Hispanic,All Other Causes,"8,279"
2006,F,85+,Hispanic,Diseases of the Heart,"14,870"
2006,F,85+,Hispanic,Total,"31,532"
2006,F,85+,Not Stated,Malignant Neoplasms,1
2006,F,85+,Not Stated,All Other Causes,3
2006,F,85+,Not Stated,Diseases of the Heart,3
2006,F,85+,Not Stated,Total,7
2006,F,85+,White Non Hispanic,Malignant Neoplasms,3
2006,F,85+,White Non Hispanic,All Other Causes,15
2006,F,85+,White Non Hispanic,Diseases of the Heart,15
2006,F,85+,White Non Hispanic,Total,33
2006,F,<1,Hispanic,Cerebrovascular Disease,2
2006,F,<1,Hispanic,Pneumonia,3
2006,F,<1,Hispanic,Diseases of the Heart,5
2006,F,<1,Hispanic,Malignant Neoplasms,5
2006,F,<1,Hispanic,Accidents,16
2006,F,<1,Hispanic,All Other Causes,580
2006,F,<1,Hispanic,Total,611
2006,F,<1,Other Non Hispanic,Cerebrovascular Disease,1
2006,F,<1,Other Non Hispanic,Total,1
2006,F,<1,White Non Hispanic,All Other Causes,2
2006,F,<1,White Non Hispanic,Total,2
2006,M,9-Jan,Hispanic,Cerebrovascular Disease,2
2006,M,9-Jan,Hispanic,CLRD,4
2006,M,9-Jan,Hispanic,Pneumonia,5
2006,M,9-Jan,Hispanic,Diseases of the Heart,9
2006,M,9-Jan,Hispanic,Malignant Neoplasms,27
2006,M,9-Jan,Hispanic,Accidents,35
2006,M,9-Jan,Hispanic,All Other Causes,116
2006,M,9-Jan,Hispanic,Total,198
2006,M,19-Oct,Black Non Hispanic,Diseases of the Heart,1
2006,M,19-Oct,Black Non Hispanic,Total,1
2006,M,19-Oct,Hispanic,Pneumonia,2
2006,M,19-Oct,Hispanic,CLRD,5
2006,M,19-Oct,Hispanic,AIDS,7
2006,M,19-Oct,Hispanic,Cerebrovascular Disease,9
2006,M,19-Oct,Hispanic,Diseases of the Heart,23
2006,M,19-Oct,Hispanic,Malignant Neoplasms,44
2006,M,19-Oct,Hispanic,Accidents,174
2006,M,19-Oct,Hispanic,All Other Causes,250
2006,M,19-Oct,Hispanic,Total,514
2006,M,20-24,Hispanic,CLRD,2
2006,M,20-24,Hispanic,Pneumonia,3
2006,M,20-24,Hispanic,AIDS,4
2006,M,20-24,Hispanic,Cerebrovascular Disease,5
2006,M,20-24,Hispanic,Diseases of the Heart,24
2006,M,20-24,Hispanic,Malignant Neoplasms,39
2006,M,20-24,Hispanic,Accidents,258
2006,M,20-24,Hispanic,All Other Causes,385
2006,M,20-24,Hispanic,Total,720
2006,M,20-24,Not Stated,All Other Causes,1
2006,M,20-24,Not Stated,Total,1
2006,M,25-34,Hispanic,Diabetes Mellitus,4
2006,M,25-34,Hispanic,CLRD,6
2006,M,25-34,Hispanic,Pneumonia,7
2006,M,25-34,Hispanic,Cerebrovascular Disease,18
2006,M,25-34,Hispanic,AIDS,42
2006,M,25-34,Hispanic,Malignant Neoplasms,111
2006,M,25-34,Hispanic,Diseases of the Heart,113
2006,M,25-34,Hispanic,Accidents,343
2006,M,25-34,Hispanic,All Other Causes,711
2006,M,25-34,Hispanic,Total,"1,355"
2006,M,35-44,Black Non Hispanic,Cerebrovascular Disease,1
2006,M,35-44,Black Non Hispanic,Total,1
2006,M,35-44,Hispanic,Diabetes Mellitus,14
2006,M,35-44,Hispanic,CLRD,27
2006,M,35-44,Hispanic,Pneumonia,37
2006,M,35-44,Hispanic,Cerebrovascular Disease,53
2006,M,35-44,Hispanic,AIDS,185
2006,M,35-44,Hispanic,Accidents,385
2006,M,35-44,Hispanic,Malignant Neoplasms,391
2006,M,35-44,Hispanic,Diseases of the Heart,462
2006,M,35-44,Hispanic,All Other Causes,"1,233"
2006,M,35-44,Hispanic,Total,"2,787"
2006,M,35-44,White Non Hispanic,AIDS,1
2006,M,35-44,White Non Hispanic,Accidents,1
2006,M,35-44,White Non Hispanic,Diseases of the Heart,2
2006,M,35-44,White Non Hispanic,Total,4
2006,M,45-54,Black Non Hispanic,All Other Causes,1
2006,M,45-54,Black Non Hispanic,Total,1
2006,M,45-54,Hispanic,Diabetes Mellitus,35
2006,M,45-54,Hispanic,CLRD,90
2006,M,45-54,Hispanic,Pneumonia,92
2006,M,45-54,Hispanic,Cerebrovascular Disease,154
2006,M,45-54,Hispanic,AIDS,286
2006,M,45-54,Hispanic,Accidents,436
2006,M,45-54,Hispanic,Malignant Neoplasms,"1,466"
2006,M,45-54,Hispanic,Diseases of the Heart,"1,499"
2006,M,45-54,Hispanic,All Other Causes,"2,232"
2006,M,45-54,Hispanic,Total,"6,290"
2006,M,45-54,Not Stated,All Other Causes,2
2006,M,45-54,Not Stated,Diseases of the Heart,2
2006,M,45-54,Not Stated,Total,4
2006,M,45-54,Other Non Hispanic,Diseases of the Heart,1
2006,M,45-54,Other Non Hispanic,Total,1
2006,M,45-54,White Non Hispanic,Accidents,1
2006,M,45-54,White Non Hispanic,All Other Causes,2
2006,M,45-54,White Non Hispanic,Diseases of the Heart,2
2006,M,45-54,White Non Hispanic,Total,5
2006,M,55-64,Black Non Hispanic,Cerebrovascular Disease,1
2006,M,55-64,Black Non Hispanic,Total,1
2006,M,55-64,Hispanic,Diabetes Mellitus,73
2006,M,55-64,Hispanic,AIDS,131
2006,M,55-64,Hispanic,Pneumonia,160
2006,M,55-64,Hispanic,CLRD,297
2006,M,55-64,Hispanic,Cerebrovascular Disease,298
2006,M,55-64,Hispanic,Accidents,325
2006,M,55-64,Hispanic,All Other Causes,"2,450"
2006,M,55-64,Hispanic,Diseases of the Heart,"2,779"
2006,M,55-64,Hispanic,Malignant Neoplasms,"3,163"
2006,M,55-64,Hispanic,Total,"9,676"
2006,M,55-64,Not Stated,Diseases of the Heart,1
2006,M,55-64,Not Stated,Malignant Neoplasms,1
2006,M,55-64,Not Stated,All Other Causes,2
2006,M,55-64,Not Stated,Total,4
2006,M,55-64,White Non Hispanic,All Other Causes,4
2006,M,55-64,White Non Hispanic,Total,4
2006,M,65-74,Hispanic,AIDS,38
2006,M,65-74,Hispanic,Diabetes Mellitus,101
2006,M,65-74,Hispanic,Accidents,244
2006,M,65-74,Hispanic,Pneumonia,272
2006,M,65-74,Hispanic,Cerebrovascular Disease,438
2006,M,65-74,Hispanic,CLRD,567
2006,M,65-74,Hispanic,All Other Causes,"2,639"
2006,M,65-74,Hispanic,Diseases of the Heart,"3,857"
2006,M,65-74,Hispanic,Total,"12,497"
2006,M,65-74,Not Stated,All Other Causes,1
2006,M,65-74,Not Stated,Malignant Neoplasms,2
2006,M,65-74,Not Stated,Total,3
2006,M,65-74,White Non Hispanic,All Other Causes,1
2006,M,65-74,White Non Hispanic,Cerebrovascular Disease,1
2006,M,65-74,White Non Hispanic,Diseases of the Heart,2
2006,M,65-74,White Non Hispanic,Malignant Neoplasms,2
2006,M,65-74,White Non Hispanic,Total,6
2006,M,75-84,Black Non Hispanic,Malignant Neoplasms,1
2006,M,75-84,Black Non Hispanic,Diseases of the Heart,2
2006,M,75-84,Black Non Hispanic,Total,3
2006,M,75-84,Hispanic,AIDS,10
2006,M,75-84,Hispanic,Diabetes Mellitus,124
2006,M,75-84,Hispanic,Accidents,338
2006,M,75-84,Hispanic,Pneumonia,722
2006,M,75-84,Hispanic,Cerebrovascular Disease,834
2006,M,75-84,Hispanic,CLRD,"1,151"
2006,M,75-84,Hispanic,All Other Causes,"4,243"
2006,M,75-84,Hispanic,Malignant Neoplasms,"5,139"
2006,M,75-84,Hispanic,Diseases of the Heart,"7,161"
2006,M,75-84,Hispanic,Total,"19,722"
2006,M,75-84,Not Stated,All Other Causes,1
2006,M,75-84,Not Stated,Cerebrovascular Disease,1
2006,M,75-84,Not Stated,Malignant Neoplasms,1
2006,M,75-84,Not Stated,Diseases of the Heart,3
2006,M,75-84,Not Stated,Total,6
2006,M,75-84,Other Non Hispanic,All Other Causes,1
2006,M,75-84,Other Non Hispanic,Total,1
2006,M,75-84,White Non Hispanic,Accidents,1
2006,M,75-84,White Non Hispanic,Pneumonia,1
2006,M,75-84,White Non Hispanic,All Other Causes,2
2006,M,75-84,White Non Hispanic,Cerebrovascular Disease,2
2006,M,75-84,White Non Hispanic,Malignant Neoplasms,2
2006,M,75-84,White Non Hispanic,Diseases of the Heart,5
2006,M,75-84,White Non Hispanic,Total,13
2006,M,85+,Hispanic,AIDS,1
2006,M,85+,Hispanic,Diabetes Mellitus,58
2006,M,85+,Hispanic,Accidents,281
2006,M,85+,Hispanic,Cerebrovascular Disease,683
2006,M,85+,Hispanic,CLRD,699
2006,M,85+,Hispanic,Pneumonia,875
2006,M,85+,Hispanic,Malignant Neoplasms,"2,429"
2006,M,85+,Hispanic,All Other Causes,"3,800"
2006,M,85+,Hispanic,Diseases of the Heart,"7,080"
2006,M,85+,Hispanic,Total,"15,906"
2006,M,85+,Not Stated,All Other Causes,1
2006,M,85+,Not Stated,Diseases of the Heart,1
2006,M,85+,Not Stated,Total,2
2006,M,85+,White Non Hispanic,Cerebrovascular Disease,1
2006,M,85+,White Non Hispanic,All Other Causes,4
2006,M,85+,White Non Hispanic,Diseases of the Heart,6
2006,M,85+,White Non Hispanic,Total,11
2006,M,<1,Hispanic,CLRD,1
2006,M,<1,Hispanic,Malignant Neoplasms,1
2006,M,<1,Hispanic,Cerebrovascular Disease,5
2006,M,<1,Hispanic,Diseases of the Heart,8
2006,M,<1,Hispanic,Pneumonia,8
2006,M,<1,Hispanic,Accidents,22
2006,M,<1,Hispanic,All Other Causes,731
2006,M,<1,Hispanic,Total,776
2006,M,<1,Not Stated,All Other Causes,1
2006,M,<1,Not Stated,Total,1
2006,M,<1,White Non Hispanic,All Other Causes,2
2006,M,<1,White Non Hispanic,Total,2
2005,M,75-84,White Non Hispanic,Malignant Neoplasms,3
2005,M,75-84,White Non Hispanic,Diseases of the Heart,3
2005,M,75-84,White Non Hispanic,All Other Causes,3
2005,M,75-84,White Non Hispanic,Pneumonia,1
2005,M,75-84,White Non Hispanic,CLRD,1
2005,M,75-84,Not Stated,Total,2
2005,M,75-84,Not Stated,Malignant Neoplasms,1
2005,M,75-84,Not Stated,Diseases of the Heart,1
2005,M,75-84,Hispanic,Total,"20,387"
2005,M,75-84,Hispanic,Diseases of the Heart,"7,352"
2005,M,75-84,Hispanic,Malignant Neoplasms,"5,242"
2005,M,75-84,Hispanic,All Other Causes,"4,396"
2005,M,75-84,Hispanic,CLRD,"1,191"
2005,M,75-84,Hispanic,Cerebrovascular Disease,890
2005,M,75-84,Hispanic,Pneumonia,846
2005,M,75-84,Hispanic,Accidents,342
2005,M,75-84,Hispanic,Diabetes Mellitus,125
2005,M,75-84,Hispanic,AIDS,3
2005,M,75-84,Black Non Hispanic,Total,4
2005,M,75-84,Black Non Hispanic,Diseases of the Heart,2
2005,M,75-84,Black Non Hispanic,Malignant Neoplasms,1
2005,M,75-84,Black Non Hispanic,Cerebrovascular Disease,1
2005,M,65-74,White Non Hispanic,Total,8
2005,M,65-74,White Non Hispanic,Diseases of the Heart,3
2005,M,65-74,White Non Hispanic,Malignant Neoplasms,2
2005,M,65-74,White Non Hispanic,Pneumonia,1
2005,M,65-74,White Non Hispanic,Cerebrovascular Disease,1
2005,M,65-74,White Non Hispanic,All Other Causes,1
2005,M,65-74,Not Stated,Total,1
2005,M,65-74,Not Stated,Malignant Neoplasms,1
2005,M,65-74,Hispanic,Total,"12,902"
2005,M,65-74,Hispanic,Malignant Neoplasms,"4,423"
2005,M,65-74,Hispanic,Diseases of the Heart,"4,095"
2005,M,65-74,Hispanic,All Other Causes,"2,577"
2005,M,65-74,Hispanic,CLRD,671
2005,M,65-74,Hispanic,Cerebrovascular Disease,416
2005,M,65-74,Hispanic,Pneumonia,329
2005,M,65-74,Hispanic,Accidents,256
2005,M,65-74,Hispanic,Diabetes Mellitus,101
2005,M,65-74,Hispanic,AIDS,34
2005,M,65-74,Black Non Hispanic,Total,3
2005,M,65-74,Black Non Hispanic,Diseases of the Heart,1
2005,M,65-74,Black Non Hispanic,Cerebrovascular Disease,1
2005,M,65-74,Black Non Hispanic,All Other Causes,1
2005,M,55-64,White Non Hispanic,Total,3
2005,M,55-64,White Non Hispanic,Malignant Neoplasms,1
2005,M,55-64,White Non Hispanic,Diseases of the Heart,1
2005,M,55-64,White Non Hispanic,All Other Causes,1
2005,M,55-64,Not Stated,Total,2
2005,M,55-64,Not Stated,Cerebrovascular Disease,1
2005,M,55-64,Not Stated,All Other Causes,1
2005,M,55-64,Hispanic,Total,"9,396"
2005,M,55-64,Hispanic,Malignant Neoplasms,"3,113"
2005,M,55-64,Hispanic,Diseases of the Heart,"2,789"
2005,M,55-64,Hispanic,All Other Causes,"2,272"
2005,M,55-64,Hispanic,CLRD,292
2005,M,55-64,Hispanic,Accidents,282
2005,M,55-64,Hispanic,Cerebrovascular Disease,266
2005,M,55-64,Hispanic,Pneumonia,172
2005,M,55-64,Hispanic,AIDS,149
2005,M,55-64,Hispanic,Diabetes Mellitus,61
2005,M,55-64,Black Non Hispanic,Total,3
2005,M,55-64,Black Non Hispanic,Malignant Neoplasms,2
2005,M,55-64,Black Non Hispanic,All Other Causes,1
2005,M,45-54,White Non Hispanic,Total,4
2005,M,45-54,White Non Hispanic,All Other Causes,4
2005,M,45-54,Hispanic,Total,"6,504"
2005,M,45-54,Hispanic,All Other Causes,"2,250"
2005,M,45-54,Hispanic,Diseases of the Heart,"1,552"
2005,M,45-54,Hispanic,Malignant Neoplasms,"1,543"
2005,M,45-54,Hispanic,Accidents,395
2005,M,45-54,Hispanic,Cerebrovascular Disease,164
2005,M,45-54,Hispanic,Pneumonia,102
2005,M,45-54,Hispanic,CLRD,100
2005,M,45-54,Hispanic,Diabetes Mellitus,46
2005,M,45-54,Black Non Hispanic,Total,3
2005,M,45-54,Black Non Hispanic,Diseases of the Heart,2
2005,M,45-54,Black Non Hispanic,All Other Causes,1
2005,M,35-44,White Non Hispanic,Total,3
2005,M,35-44,White Non Hispanic,Diseases of the Heart,1
2005,M,35-44,White Non Hispanic,All Other Causes,1
2005,M,35-44,White Non Hispanic,Accidents,1
2005,M,35-44,Hispanic,Total,"2,799"
2005,M,35-44,Hispanic,All Other Causes,"1,241"
